법정동시도코드,시도명,법정동시군구코드,시군구명,시간코드,전체_카드,교통,백화점,소형유통,숙박,스포츠외,여행,요식,의료,주유,주차장,편의점,할인점외
45,전북,140,익산시,53,23083,9561,1976,8240,754,2706,215,19839,948,5252,1589,8761,9851
11,서울,650,서초구,52,32878,10826,6547,11643,2396,6584,571,38198,2003,6501,3856,15700,13955
45,전북,130,군산시,54,7573,3082,1306,3116,334,1142,73,7518,309,2168,561,3302,3264
46,전남,780,보성군,55,172,53,17,66,0,6,0,131,0,48,6,52,66
43,충북,740,영동군,53,3274,1072,257,1244,100,299,12,2550,166,917,148,1116,1062
11,서울,290,성북구,51,33868,10199,5673,13559,1589,5582,466,39225,1819,6333,2845,16554,15608
41,경기,115,수원시 팔달구,53,20411,7986,4316,7779,825,2962,198,22012,828,4343,2107,9761,8961
43,충북,130,충주시,51,4624,2069,411,1836,173,666,31,5090,181,1291,315,2270,2127
11,서울,710,송파구,54,32802,12458,7230,13313,1857,6480,528,39078,1546,6189,2953,16449,14848
41,경기,131,성남시 수정구,52,6073,2089,945,2569,285,964,74,7083,259,1078,522,3018,2734
27,대구,290,달서구,54,35825,12054,5278,12289,1314,4366,273,35677,1262,8255,2408,15291,16411
41,경기,650,포천시,51,991,247,107,406,33,136,6,1034,44,282,92,484,409
30,대전,200,유성구,53,60111,20459,11074,21617,2783,8128,625,53745,2227,14968,5374,22311,23631
46,전남,110,목포시,52,11548,4279,1415,4975,449,1499,77,11237,675,3124,473,4595,4996
11,서울,560,영등포구,54,55573,19933,10942,21585,2898,9378,1006,65817,2805,9222,4726,28201,24560
47,경북,730,의성군,54,440,142,49,175,9,42,0,439,13,121,31,180,170
46,전남,230,광양시,51,4391,1207,391,1901,164,675,42,4217,251,1370,331,1723,1776
28,인천,200,남동구,53,24691,7940,3527,9392,1095,3826,378,25897,1006,5341,2859,11393,11355
46,전남,890,완도군,51,401,115,48,172,21,32,0,342,14,103,22,150,139
45,전북,113,전주시 덕진구,52,15816,5736,1550,5936,673,2222,180,15222,747,4136,1509,6109,6586
45,전북,113,전주시 덕진구,53,21570,7669,2087,8183,883,3030,242,20743,1028,5746,1968,8312,9016
44,충남,250,계룡시,51,4398,1122,482,1686,194,822,33,3885,194,1322,270,1513,1852
