자원번호,자원명,분류
2922,Serratia fonticola,Bacteria
2923,Serratia grimesii,Bacteria
2924,Serratia plymuthica,Bacteria
2926,Serratia proteamaculans subsp. quinovora,Bacteria
2927,Serratia rubidaea,Bacteria
3686,Halobacillus trueperi,Bacteria
3687,Halobacillus litoralis,Bacteria
2934,Serratia entomophila,Bacteria
3675,Carnobacterium divergens,Bacteria
2936,Serratia proteamaculans subsp. proteamaculans,Bacteria
2937,Serratia odorifera,Bacteria
2943,Chitinophaga arvensicola,Bacteria
2939,Sphingobium herbicidovorans,Bacteria
2938,Sphingobium chlorophenolicum,Bacteria
2900,Marinoscillum furvescens,Bacteria
2899,Marivirga sericea,Bacteria
3684,Planococcus koreensis,Bacteria
3685,Halobacillus halophilus,Bacteria
2949,Cronobacter sakazakii,Bacteria
9827,Tsukamurella sunchonensis,Bacteria
2953,Ruegeria lacuscaerulensis,Bacteria
9824,Gordonia rhizosphera,Bacteria
9825,Nocardiopsis halophila,Bacteria
3681,Companilactobacillus farciminis,Bacteria
7814,Hanseniaspora guilliermondii,Yeast
2957,Alteromonas macleodii,Bacteria
2958,Marivirga tractuosa,Bacteria
7826,Lipomyces starkeyi,Yeast
9833,Amycolatopsis thermoflava,Bacteria
3701,Bacillus atrophaeus,Bacteria
9831,Nocardiopsis kunsanensis,Bacteria
9838,Kibdelosporangium philippinense,Bacteria
9837,Allokutzneria albata,Bacteria
3705,Bacillus spizizenii,Bacteria
2955,Sphingobium chungbukense,Bacteria
2959,Vibrio vulnificus,Bacteria
2964,Burkholderia caribensis,Bacteria
2966,Burkholderia cepacia,Bacteria
2971,Burkholderia phenazinium,Bacteria
2974,Burkholderia vietnamiensis,Bacteria
3706,Bacillus mojavensis,Bacteria
3707,Bacillus vallismortis,Bacteria
3702,Gracilibacillus halotolerans,Bacteria
3703,Gracilibacillus dipsosauri,Bacteria
9843,Myxococcus virescens,Bacteria
9863,Amycolatopsis sacchari,Bacteria
9866,Tsukamurella inchonensis,Bacteria
3736,Sporosarcina globispora,Bacteria
3738,Lederbergia lenta,Bacteria
3739,Bacillus badius,Bacteria
3741,Aneurinibacillus thermoaerophilus,Bacteria
3743,Brevibacillus brevis,Bacteria
2978,Sphingobium xenophagum,Bacteria
9882,Streptomyces ghanaensis,Bacteria
9885,Streptomyces calvus,Bacteria
2989,Comamonas terrigena,Bacteria
2990,Comamonas testosteroni,Bacteria
2991,Delftia acidovorans,Bacteria
12005,Comamonas koreensis,Bacteria
3745,Paenibacillus daejeonensis,Bacteria
12007,Legionella birminghamensis,Bacteria
12008,Legionella israelensis,Bacteria
12009,Legionella pneumophila subsp. pneumophila,Bacteria
7880,Zygosaccharomyces rouxii,Yeast
